,id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
155,155,Honda,S2000 CR,2004,54000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Blue,Black,None reported,Yes,15363
156,156,Mercedes-Benz,SL-Class SL600 Roadster,2007,93000,Gasoline,493.0HP 5.5L 12 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,11999
157,157,Lincoln,LS V8,2002,42000,Gasoline,252.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,15999
158,158,BMW,X6 xDrive35i,2019,48000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,At least 1 accident or damage reported,Yes,41995
159,159,Toyota,Land Cruiser Base,2012,269885,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,47500
160,160,BMW,X5 xDrive35i,2013,87248,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,22999
161,161,Hummer,H3 Base,2006,106000,Gasoline,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,15000
162,162,Dodge,Magnum Base,2005,134602,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,4500
163,163,Dodge,Ram 1500 ST,2008,134000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,13500
164,164,Toyota,Tundra Limited,2010,89400,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,26900
165,165,Kia,Sorento SX Prestige,2023,11100,Gasoline,281.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,40200
166,166,Jeep,Renegade Trailhawk,2017,52000,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,17500
167,167,Mercedes-Benz,G-Class G 550 4MATIC,2020,45000,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,54500
168,168,BMW,X5 xDrive40i,2022,15000,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Black,None reported,Yes,59000
169,169,Audi,S4 3.0T Premium Plus,2017,102370,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,34500
170,170,Buick,Envision Preferred,2019,68750,Gasoline,197.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,32500
171,171,Jeep,Wrangler Unlimited Sahara,2016,72843,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,31599
172,172,Mercedes-Benz,G-Class G 550 4MATIC,2022,13250,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,144900
173,173,Jeep,Wrangler Unlimited Sport,2016,62378,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,None reported,Yes,97993
174,174,Lexus,RX 350 F Sport Performance,2022,12055,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Red,None reported,Yes,42999
175,175,Mazda,CX-9 Signature,2021,61874,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Jet Black Mica,Black,None reported,Yes,41927
176,176,Audi,RS 7 4.0T Prestige,2015,59950,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,69000
177,177,Mercedes-Benz,CLK-Class 550,2005,149465,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,18800
178,178,Ford,Mustang EcoBoost Premium,2021,17300,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,45000
179,179,Buick,Envision Preferred,2021,18185,Gasoline,2.5L I4 16V GDI DOHC Turbo,9-Speed Automatic,Summit White,Ebony,None reported,Yes,43250
180,180,GMC,Highlander Limited Platinum,2015,107000,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,11900
181,181,Audi,S4 3.0T Premium Plus,2018,72865,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,54900
182,182,Audi,Q5 2.0T Premium Plus,2019,50000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,26999
183,183,BMW,740 i,2021,18000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,69000
184,184,RAM,1500 Laramie,2020,51105,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Delmonico Red Pearlcoat,Black,None reported,Yes,38880
185,185,Mercedes-Benz,AMG C 63 S,2021,13650,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,75000
186,186,Chevrolet,Suburban 1500 LTZ,2016,215000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,None reported,Yes,21500
187,187,Dodge,Ram 2500 SLT Quad Cab,2010,114000,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,10700
188,188,Honda,S2000 Base,2010,83765,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Beige,At least 1 accident or damage reported,Yes,22450
189,189,Jeep,Gladiator Mojave,2022,24850,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,50000
190,190,Toyota,Tundra Limited,2016,67400,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,29500
191,191,Audi,Q7 45 Premium Plus,2021,24500,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,38000
192,192,Audi,A6 55 Premium,2017,67900,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Blue,Brown,None reported,Yes,37500
193,193,RAM,1500 Classic Tradesman,2019,26177,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,47500
194,194,Chevrolet,Camaro 2SS,2019,8660,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,45000
195,195,Subaru,Forester 2.5 XT,2014,122000,Gasoline,210.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,14999
196,196,Chevrolet,Camaro Z28,2002,58800,Gasoline,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,10000
197,197,Ford,Thunderbird Deluxe,2014,63250,Gasoline,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,18650
198,198,Land,Rover Range Rover Sport Supercharged HSE,2012,119000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,12500
199,199,Porsche,911 Carrera,2016,67522,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,51500
200,200,Chevrolet,Camaro 1SS,2017,61000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,53000
201,201,Kia,Sorento Plug-In Hybrid SX Prestige,2020,10101,Plug-In Hybrid,261.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,6-Speed A/T,White,Black,None reported,Yes,27900
202,202,Nissan,Titan SV,2021,27598,Gasoline,5.6L V8 32V GDI DOHC,9-Speed Automatic,Blue,Black,None reported,Yes,49273
203,203,BMW,X5 xDrive40i,2021,41000,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,57999
204,204,Chevrolet,Camaro 1SS,2017,11250,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,30000
205,205,Mercedes-Benz,SL-Class SL500 Roadster,2004,35400,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,26900
206,206,BMW,M3 Base,2015,44000,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,44900
207,207,Lexus,ES 350 Base,2009,110000,Gasoline,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,None reported,Yes,15000
208,208,Mercedes-Benz,AMG GT 53 Base,2022,17994,Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,104900
209,209,Porsche,911 Carrera,2020,3158,Gasoline,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,None reported,Yes,128900
210,210,Jeep,Wrangler Sahara,2008,144770,Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,6500
211,211,Jeep,Gladiator Rubicon,2022,8794,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,63000
212,212,BMW,328 i xDrive,2015,38000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,34500
213,213,Mercedes-Benz,SL-Class SL 63 AMG,2014,47400,Gasoline,518.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,23900
214,214,Ford,F-250 Platinum,2018,66281,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Blue,Black,None reported,Yes,64900
215,215,BMW,740 i,2012,126000,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,White,At least 1 accident or damage reported,Yes,12700
216,216,INFINITI,G37 x,2001,50000,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Beige,None reported,Yes,26800
217,217,BMW,X6 xDrive40i,2020,37000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Brown,At least 1 accident or damage reported,Yes,50000
218,218,Volvo,XC90 T6 Momentum,2018,60000,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,40750
219,219,Mercedes-Benz,GL-Class GL 450 4MATIC,2007,90400,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None reported,Yes,10199
220,220,MINI,Cooper S Base,2011,136500,Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,5999
221,221,Lexus,LS 430 Base,2006,132000,Gasoline,278.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,17000
222,222,Audi,A4 2.0T Premium,2014,87500,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,17900
223,223,Audi,A3 2.0T Premium,2018,118500,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,5800
224,224,Mazda,CX-9 Signature,2018,80124,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Black,Black,None reported,Yes,21373
225,225,Ford,Roma Base,2022,17900,Gasoline,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Brown,None reported,Yes,85000
226,226,Chevrolet,Corvette Stingray w/3LT,2022,9000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,78900
227,227,Honda,Civic EX,2007,169802,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,–,None reported,Yes,5200
228,228,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,2017,58000,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,150000
229,229,Mercedes-Benz,GL-Class GL 450 4MATIC,2013,90400,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,17000
230,230,BMW,X5 xDrive40i,2019,58600,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,None reported,Yes,36500
231,231,Mercedes-Benz,SL-Class SL500 Roadster,2003,121000,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,White,At least 1 accident or damage reported,Yes,40999
232,232,BMW,X5 xDrive50i,2017,34300,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,29998
233,233,Ford,Mustang GT Premium,2014,63460,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Beige,None reported,Yes,25215
234,234,BMW,M4 Base,2015,62500,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,28000
235,235,Buick,Enclave Avenir,2021,51351,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Rich Garnet Metallic,Ebony,None reported,Yes,33295
236,236,Porsche,Macan Turbo,2016,50000,Gasoline,400.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,–,At least 1 accident or damage reported,Yes,32000
237,237,Audi,A7 3.0T Premium Plus,2016,71280,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,17999
238,238,Ford,Bronco XLT,1995,119000,–,–,A/T,Black,Gray,None reported,Yes,97993
239,239,Toyota,86 860 Special Edition,2008,169000,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Beige,None reported,Yes,6500
240,240,Mercedes-Benz,SL-Class SL500 Roadster,2012,151400,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,155700
241,241,Chevrolet,Camaro 1LT,2011,139000,Gasoline,312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,5199
242,242,Cadillac,XT5 Luxury,2018,71962,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Stellar Black Metallic,Shara Beige,None reported,Yes,26600
243,243,Kia,Sorento SX Prestige,2021,41000,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,42500
244,244,Mercedes-Benz,E-Class E 350 4MATIC,2016,67800,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,19500
245,245,Audi,Q8 55 Premium Plus,2021,30000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,48000
246,246,Land,Rover Range Rover Velar P250 S R-Dynamic,2019,29500,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,None reported,Yes,34900
247,247,Audi,A6 55 Premium Plus,2020,33000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gray,Brown,None reported,Yes,59900
248,248,Mercedes-Benz,Metris Base,2022,2284,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Black,Tan,None reported,Yes,44999
249,249,McLaren,570S Spider,2020,30200,Gasoline,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Black,None reported,Yes,175000
250,250,Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,64549,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,–,At least 1 accident or damage reported,Yes,22500
251,251,BMW,X5 sDrive35i,2014,89000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,12800
252,252,Ford,Expedition Platinum,2018,61773,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,Yes,44700
253,253,Ford,F-150 XLT SuperCab,2005,207100,Gasoline,292.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,4199
254,254,Mercedes-Benz,SL-Class SL 550,2011,59700,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Beige,None reported,Yes,29000
255,255,Acura,TSX 2.4,2010,116000,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Beige,At least 1 accident or damage reported,Yes,11500
256,256,RAM,1500 Big Horn,2021,44000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,46500
257,257,Dodge,Charger R/T,2021,7751,Gasoline,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,46000
258,258,Ford,Mustang GT Premium,2018,53782,Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,48000
259,259,Chevrolet,Corvette Base,2010,56000,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,44800
260,260,Porsche,718 Boxster S,2016,91140,Gasoline,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,17900
261,261,Toyota,Tacoma SR5,2014,24915,Gasoline,3.5L V6 24V PDI DOHC,6-Speed Automatic,Red,Black,At least 1 accident or damage reported,Yes,13715
262,262,Toyota,Tacoma PreRunner,2013,35000,Gasoline,159.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Gray,None reported,Yes,17500
263,263,Chevrolet,Suburban LT,2017,26000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,32000
264,264,Jeep,Gladiator Overland,2020,33060,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,47500
265,265,BMW,X5 xDrive35i,2013,71280,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,15900
266,266,Nissan,Juke SL,2012,27989,Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Black,None reported,Yes,29500
267,267,Land,Rover Range Rover Sport SVR,2018,18000,Gasoline,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,48000
268,268,Nissan,Pathfinder S,2017,145000,Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,Beige,At least 1 accident or damage reported,Yes,7850
269,269,Jeep,Liberty Sport,2009,141485,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,6500
270,270,Ford,F-150 Lariat,2022,12500,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,85495
271,271,Mercedes-Benz,Metris Base,2019,17000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,72900
272,272,Land,Rover Range Rover P530 SE SWB,2020,2800,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,69900
273,273,BMW,328 i xDrive,2011,110000,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,Beige,At least 1 accident or damage reported,Yes,9400
274,274,INFINITI,G35 Sport,2015,110000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,11000
275,275,Jeep,Compass Sport,2016,185000,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,7100
276,276,Cadillac,Escalade Platinum,2020,48613,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,55999
277,277,Lexus,LS 460 L,2008,102000,Gasoline,380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,38500
278,278,Audi,A3 2.0T Premium,2016,87500,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,27995
279,279,Maserati,Ghibli S Q4,2018,53500,Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,None reported,Yes,35999
280,280,Scion,xB Base,2009,95426,Gasoline,158.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,6500
281,281,Jaguar,F-TYPE R,2020,16002,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,Yes,74900
282,282,BMW,435 i,2012,104000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,20900
283,283,MINI,Cooper S Base,2012,128000,Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,7500
284,284,BMW,528 i xDrive,2015,125500,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,12000
285,285,Chevrolet,Tahoe Premier,2019,44800,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,51500
286,286,Porsche,Cayenne S,2014,97500,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,16999
287,287,Chevrolet,Malibu 1LT,2009,53100,Gasoline,169.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,14900
288,288,Mercedes-Benz,SL-Class SL 550,2013,115000,Gasoline,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,At least 1 accident or damage reported,Yes,29000
289,289,Chevrolet,Corvette Stingray w/1LT,2021,4000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,At least 1 accident or damage reported,Yes,73900
290,290,Mercedes-Benz,E-Class E 350 4MATIC,2017,83112,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Beige,None reported,Yes,17999
291,291,Volkswagen,Golf R 4-Door,2013,102750,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,17999
292,292,Ford,F-150 Tremor,2018,81648,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Black,None reported,Yes,28991
293,293,Audi,A4 2.0T Premium Plus quattro,2012,69700,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,19500
294,294,Chevrolet,Silverado 1500 LT Crew Cab,2006,57800,Gasoline,345.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,17900
295,295,Hyundai,Genesis Coupe 3.8 Base,2010,45303,Gasoline,306.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,19500
296,296,Chevrolet,Corvette Stingray w/2LT,2021,12500,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Yellow,Black,None reported,Yes,54000
297,297,Lexus,GX 460 Base,2018,67645,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Brown,None reported,Yes,59500
298,298,Mercedes-Benz,GL-Class GL 550 4MATIC,2014,76850,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,42800
299,299,Volkswagen,Atlas 3.6L SEL Premium R-Line,2021,28105,Gasoline,3.6L V6 24V GDI DOHC,6-Speed Automatic,Deep Black Pearl Effect,Titan Black / Quarzit,None reported,Yes,349950
300,300,Jeep,Gladiator Sport S,2023,4000,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,76500
301,301,Jeep,Grand Cherokee L Laredo,2021,23588,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Metallic,Global Black,None reported,Yes,26772
302,302,Land,Rover Range Rover HSE,2008,152000,Gasoline,230.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Gray,None reported,Yes,6500
303,303,Ford,Explorer XLT,2017,161000,E85 Flex Fuel,290.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,Gray,None reported,Yes,17500
304,304,GMC,Savana 2500 Work Van,2012,79615,E85 Flex Fuel,342.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,A/T,Silver,–,None reported,Yes,28000
305,305,Mitsubishi,Eclipse GT,2001,16000,Gasoline,200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,–,None reported,Yes,6500
306,306,Porsche,Cayenne S,2013,60000,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,19500
